,,pumps,pumps,pumps,pumps,exploded,reward,trial_id
,,mean,std,min,max,mean,mean,count
risk_weight,temperature,,,,,,,
0.1,0.5,5.167,0.408,5,6,0.0,0.258,6
0.1,0.8,5.333,0.516,5,6,0.0,0.267,6
0.2,0.5,7.0,4.0,1,10,0.333,0.317,6
0.2,0.8,6.667,2.658,2,10,0.333,0.267,6
0.3,0.5,10.5,3.332,4,13,0.5,0.3,6
0.3,0.8,10.833,4.215,5,18,0.333,0.417,6
0.4,0.5,12.833,6.401,1,18,0.833,0.15,6
0.4,0.8,7.5,8.191,1,18,0.667,0.3,6
0.5,0.5,15.0,2.449,10,16,0.333,0.533,6
0.5,0.8,14.333,4.082,6,16,0.5,0.4,6
0.6,0.5,13.167,7.305,2,20,0.833,0.167,6
0.6,0.8,15.167,7.653,3,20,0.333,0.667,6
0.7,0.5,11.333,7.421,2,21,0.833,0.175,6
0.7,0.8,18.0,5.02,8,22,0.5,0.517,6
0.8,0.5,19.833,6.113,11,24,0.667,0.4,6
0.8,0.8,15.333,7.967,5,24,1.0,0.0,6
0.9,0.5,16.5,7.944,5,25,0.833,0.208,6
0.9,0.8,15.833,8.565,4,25,1.0,0.0,6
