mix,learning_rate,epsilon,perseveration,patience,pre_conv,post_switch,total_trials
mostly_cautious,0.2,0.1,0.3,30,30,67,97
mostly_cautious,0.2,0.1,0.3,30,39,50,89
mostly_cautious,0.2,0.1,0.3,30,38,51,89
mostly_cautious,0.2,0.1,0.3,30,30,34,64
mostly_cautious,0.2,0.1,0.3,30,30,37,67
mostly_cautious,0.2,0.1,0.3,30,30,40,70
mostly_cautious,0.2,0.1,0.3,30,30,45,75
mostly_cautious,0.2,0.1,0.3,30,30,140,170
mostly_risky,0.9,0.1,0.2,15,25,94,119
mostly_risky,0.9,0.1,0.2,15,29,46,75
mostly_risky,0.9,0.1,0.2,15,30,45,75
mostly_risky,0.9,0.1,0.2,15,21,50,71
mostly_risky,0.9,0.1,0.2,15,48,21,69
mostly_risky,0.9,0.1,0.2,15,24,69,93
mostly_risky,0.9,0.1,0.2,15,57,17,74
mostly_risky,0.9,0.1,0.2,15,66,93,159
impulsive_mix,0.6,0.3,0.4,20,28,21,49
impulsive_mix,0.6,0.3,0.4,20,47,27,74
impulsive_mix,0.6,0.3,0.4,20,20,128,148
impulsive_mix,0.6,0.3,0.4,20,27,27,54
impulsive_mix,0.6,0.3,0.4,20,20,35,55
impulsive_mix,0.6,0.3,0.4,20,45,49,94
impulsive_mix,0.6,0.3,0.4,20,35,50,85
impulsive_mix,0.6,0.3,0.4,20,35,99,134
easily_tired,0.2,0.1,0.3,15,25,57,82
easily_tired,0.2,0.1,0.3,15,29,46,75
easily_tired,0.2,0.1,0.3,15,25,37,62
easily_tired,0.2,0.1,0.3,15,21,30,51
easily_tired,0.2,0.1,0.3,15,25,29,54
easily_tired,0.2,0.1,0.3,15,15,78,93
easily_tired,0.2,0.1,0.3,15,15,26,41
easily_tired,0.2,0.1,0.3,15,15,20,35
